mate_key,rel_path,title,description,keywords
Alibaba/qwen-plus/openai-format/text-to-text,docs/allapi/Alibaba/qwen-plus/openai-format/text-to-text.mdx,qwen-plus (Text To Text),"Experience advanced qwen plus for intelligent text to text generation. Boost productivity with smart drafting, summarization, and creative writing at scale.","qwen-plus, qwen-plus api, qwen-plus/text-to-text"
Alibaba/qwen-turbo/openai-format/text-to-text,docs/allapi/Alibaba/qwen-turbo/openai-format/text-to-text.mdx,qwen-turbo (Text To Text),"Leverage qwen turbo for lightning-fast text to text responses. Perfect for high-volume automated content, quick queries, and efficient real-time interactions.","qwen-turbo/text-to-text, qwen-turbo/text-to-text api, qwen-turbo"
Alibaba/qwen3-max/openai-format/text-to-text,docs/allapi/Alibaba/qwen3-max/openai-format/text-to-text.mdx,qwen3-max (Text To Text),Unleash the power of qwen3 max for complex text to text tasks. Superior reasoning and deep context understanding for professional-grade AI content creation.,"qwen3-max/text-to-text, AI model, API integration, GPT Proto, machine learning"
Alibaba/wan-2.5-preview/gptproto-format/image-edit,docs/allapi/Alibaba/wan-2.5-preview/gptproto-format/image-edit.mdx,wan-2.5-preview (Image Edit),"Transform your visuals with wan 2.5 preview. Professional image edit tools for seamless object removal, style changes, and precision artistic adjustments.",
Alibaba/wan-2.5-preview/gptproto-format/image-to-video,docs/allapi/Alibaba/wan-2.5-preview/gptproto-format/image-to-video.mdx,wan-2.5-preview (Image To Video),Animate static shots using wan 2.5 preview image to video technology. Create cinematic motion and high-fidelity video clips from any single source image.,
Alibaba/wan-2.5-preview/gptproto-format/query-task,docs/allapi/Alibaba/wan-2.5-preview/gptproto-format/query-task.mdx,wan-2.5-preview (Query Task),Optimize complex workflows with wan 2.5 preview query task capabilities. Precise data extraction and logical analysis for demanding technical requirements.,
Alibaba/wan-2.5-preview/gptproto-format/text-to-image,docs/allapi/Alibaba/wan-2.5-preview/gptproto-format/text-to-image.mdx,wan-2.5-preview (Text To Image),"Generate stunning visuals with wan 2.5 preview text to image. Turn descriptive prompts into high-resolution, photorealistic digital art and illustrations.",
Alibaba/wan-2.5-preview/gptproto-format/text-to-video,docs/allapi/Alibaba/wan-2.5-preview/gptproto-format/text-to-video.mdx,wan-2.5-preview (Text To Video),Bring stories to life with wan 2.5 preview text to video. High-quality cinematic generation with consistent characters and fluid motion from text prompts.,
Claude/claude-haiku-4-5-20251001/official-format/file-analysis,docs/allapi/Claude/claude-haiku-4-5-20251001/official-format/file-analysis.mdx,claude-haiku-4-5-20251001 (File Analysis),"Fast and accurate claude haiku 4.5 file analysis. Instantly extract insights, summarize long documents, and process data from various file formats.","claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-haiku-4-5-20251001/official-format/text-to-text,docs/allapi/Claude/claude-haiku-4-5-20251001/official-format/text-to-text.mdx,claude-haiku-4-5-20251001 (Text To Text),"Get instant answers with claude haiku 4.5 text to text. The perfect balance of speed and intelligence for daily tasks, chatting, and concise drafting.","claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-haiku-4-5-20251001/official-format/web-search,docs/allapi/Claude/claude-haiku-4-5-20251001/official-format/web-search.mdx,claude-haiku-4-5-20251001 (Web Search),Explore the live web with claude haiku 4.5 web search. Access real-time information and get cited answers for your latest research and news queries.,"claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-haiku-4-5-20251001/openai-format/file-analysis,docs/allapi/Claude/claude-haiku-4-5-20251001/openai-format/file-analysis.mdx,claude-haiku-4-5-20251001 (File Analysis),Optimize data processing with claude haiku 4.5 file analysis. Efficient document parsing and information retrieval for streamlined professional workflows.,"claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-haiku-4-5-20251001/openai-format/text-to-text,docs/allapi/Claude/claude-haiku-4-5-20251001/openai-format/text-to-text.mdx,claude-haiku-4-5-20251001 (Text To Text),"Responsive and clever claude haiku 4.5 text to text. Ideal for developers and creators needing quick, reliable AI interaction and content generation.","claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-haiku-4-5-20251001/openai-format/web-search,docs/allapi/Claude/claude-haiku-4-5-20251001/openai-format/web-search.mdx,claude-haiku-4-5-20251001 (Web Search),"Stay updated with claude haiku 4.5 web search. Combine fast processing with real-time internet access for accurate, up-to-the-minute information.","claude-haiku-4-5-20251001, claude-haiku-4-5-20251001 api, claude haiku 4.5"
Claude/claude-opus-4-1-20250805-thinking/official-format/file-analysis,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/official-format/file-analysis.mdx,claude-opus-4-1-20250805-thinking (File Analysis),"Deep claude opus 4.1 thinking for complex file analysis. Advanced reasoning for technical audits, code reviews, and multifaceted document synthesis.","Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805-thinking/official-format/text-to-text,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/official-format/text-to-text.mdx,claude-opus-4-1-20250805-thinking (Text To Text),"Engage with claude opus 4.1 thinking for elite text to text reasoning. Solves difficult problems and provides nuanced, highly sophisticated AI responses.","Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805-thinking/official-format/web-search,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/official-format/web-search.mdx,claude-opus-4-1-20250805-thinking (Web Search),Comprehensive research via claude opus 4.1 thinking web search. Analyzes live data with deep logical layers to provide the most thorough answers online.,"Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805-thinking/openai-format/file-analysis,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/openai-format/file-analysis.mdx,claude-opus-4-1-20250805-thinking (File Analysis),Master intricate data with claude opus 4.1 thinking file analysis. Exceptional at finding hidden patterns in massive datasets and technical documentation.,"Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805-thinking/openai-format/text-to-text,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/openai-format/text-to-text.mdx,claude-opus-4-1-20250805-thinking (Text To Text),"Advanced logic meets claude opus 4.1 thinking text to text. Perfect for high-level strategy, complex coding, and nuanced academic writing assistance.","Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805-thinking/openai-format/web-search,docs/allapi/Claude/claude-opus-4-1-20250805-thinking/openai-format/web-search.mdx,claude-opus-4-1-20250805-thinking (Web Search),Navigate the internet with claude opus 4.1 thinking web search. Deeply reasoned insights from current sources for professional-grade market intelligence.,"Claude Opus 4.1, ai api, coding ai, reasoning model, Claude Opus api, GPTProto"
Claude/claude-opus-4-1-20250805/official-format/file-analysis,docs/allapi/Claude/claude-opus-4-1-20250805/official-format/file-analysis.mdx,claude-opus-4-1-20250805 (File Analysis),"High-performance claude opus 4.1 file analysis. Securely upload and analyze complex spreadsheets, PDFs, and legal documents with expert-level precision.","Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
Claude/claude-opus-4-1-20250805/official-format/text-to-text,docs/allapi/Claude/claude-opus-4-1-20250805/official-format/text-to-text.mdx,claude-opus-4-1-20250805 (Text To Text),"The gold standard claude opus 4.1 text to text. Exceptional creative writing, coding, and problem-solving for users who demand the very best AI quality.","Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
Claude/claude-opus-4-1-20250805/official-format/web-search,docs/allapi/Claude/claude-opus-4-1-20250805/official-format/web-search.mdx,claude-opus-4-1-20250805 (Web Search),Detailed answers with claude opus 4.1 web search. Integrated browsing allows for authoritative responses based on current global events and data.,"Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
Claude/claude-opus-4-1-20250805/openai-format/file-analysis,docs/allapi/Claude/claude-opus-4-1-20250805/openai-format/file-analysis.mdx,claude-opus-4-1-20250805 (File Analysis),Unlock document insights with claude opus 4.1 file analysis. Professional-grade extraction and summarization for business and technical researchers.,"Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
Claude/claude-opus-4-1-20250805/openai-format/text-to-text,docs/allapi/Claude/claude-opus-4-1-20250805/openai-format/text-to-text.mdx,claude-opus-4-1-20250805 (Text To Text),Experience the versatility of claude opus 4.1 text to text. A premium AI partner for complex creative projects and detailed technical documentation.,"Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
Claude/claude-opus-4-1-20250805/openai-format/web-search,docs/allapi/Claude/claude-opus-4-1-20250805/openai-format/web-search.mdx,claude-opus-4-1-20250805 (Web Search),Fact-check and research with claude opus 4.1 web search. Powerful internet-enabled AI that provides context-rich and cited information instantly.,"Claude Opus 4.1, Claude Opus 4.1 API, Claude Opus 4.1 coding, Claude Opus 4.1 reasoning, AI API"
